INFO 2024-09-12 11:53:44,476 autoreload Watching for file changes with StatReloader
DEBUG 2024-09-12 11:53:44,682 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/core/checks/registry.py first seen with mtime 1723101104.930226
DEBUG 2024-09-12 11:53:44,682 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/http/request.py first seen with mtime 1723101104.992227
DEBUG 2024-09-12 11:53:44,682 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/template/backends/__init__.py first seen with mtime 1723101104.9972272
DEBUG 2024-09-12 11:53:44,682 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/views/generic/edit.py first seen with mtime 1723101105.0152273
DEBUG 2024-09-12 11:53:44,682 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/rest_framework/pagination.py first seen with mtime 1723101202.1935837
DEBUG 2024-09-12 11:53:44,682 autoreload File /usr/lib/python3.12/email/headerregistry.py first seen with mtime 1722447828.0
DEBUG 2024-09-12 11:53:44,682 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/template/loaders/base.py first seen with mtime 1723101104.9982271
DEBUG 2024-09-12 11:53:44,682 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/shortcuts.py first seen with mtime 1723101104.2632167
DEBUG 2024-09-12 11:53:44,682 autoreload File /usr/lib/python3.12/zoneinfo/_tzpath.py first seen with mtime 1722447828.0
DEBUG 2024-09-12 11:53:44,682 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/cryptography/hazmat/primitives/serialization/base.py first seen with mtime 1725787213.9906468
DEBUG 2024-09-12 11:53:44,683 autoreload File /usr/lib/python3.12/socket.py first seen with mtime 1722447828.0
DEBUG 2024-09-12 11:53:44,683 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/forms/boundfield.py first seen with mtime 1723101104.9762268
DEBUG 2024-09-12 11:53:44,683 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/rest_framework/authentication.py first seen with mtime 1723101202.1905837
DEBUG 2024-09-12 11:53:44,683 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/contrib/staticfiles/management/__init__.py first seen with mtime 1723101104.924226
DEBUG 2024-09-12 11:53:44,683 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/views/generic/detail.py first seen with mtime 1723101105.0152273
DEBUG 2024-09-12 11:53:44,683 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/cryptography/hazmat/primitives/_asymmetric.py first seen with mtime 1725787213.9856446
DEBUG 2024-09-12 11:53:44,683 autoreload File /usr/lib/python3.12/_sysconfigdata__x86_64-linux-gnu.py first seen with mtime 1722447828.0
DEBUG 2024-09-12 11:53:44,683 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/forms/forms.py first seen with mtime 1723101104.9762268
DEBUG 2024-09-12 11:53:44,683 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/conf/global_settings.py first seen with mtime 1723101104.2642167
DEBUG 2024-09-12 11:53:44,683 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/db/backends/base/__init__.py first seen with mtime 1723101104.9462264
DEBUG 2024-09-12 11:53:44,683 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/contrib/sessions/backends/__init__.py first seen with mtime 1723101104.8362248
DEBUG 2024-09-12 11:53:44,684 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/contrib/postgres/forms/array.py first seen with mtime 1723101104.7562237
DEBUG 2024-09-12 11:53:44,684 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/db/backends/mysql/schema.py first seen with mtime 1723101104.9502265
DEBUG 2024-09-12 11:53:44,684 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/contrib/messages/__init__.py first seen with mtime 1723101104.7492237
DEBUG 2024-09-12 11:53:44,684 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/template/library.py first seen with mtime 1723101104.996227
DEBUG 2024-09-12 11:53:44,684 autoreload File /home/arpreet/Desktop/ContactsApi/authentication/contact/serializers.py first seen with mtime 1725964138.3938825
DEBUG 2024-09-12 11:53:44,684 autoreload File /usr/lib/python3.12/struct.py first seen with mtime 1722447828.0
DEBUG 2024-09-12 11:53:44,684 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/django/contrib/admin/views/__init__.py first seen with mtime 1723101104.4732196
DEBUG 2024-09-12 11:53:44,684 autoreload File /usr/lib/python3.12/weakref.py first seen with mtime 1722447828.0
DEBUG 2024-09-12 11:53:44,684 autoreload File /home/arpreet/Desktop/ContactsApi/myenv/lib/python3.12/site-packages/jwt/utils.py first seen with mtime 1723148114.984068
